"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"109",9,22.3824062347412,"Black_Shade",13726,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"110",10,22.6654624938965,"Black_Shade",13768,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"111",11,20.7494449615479,"Silver_Shade",13486,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"112",12,20.6121520996094,"Silver_Shade",13466,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"113",13,20.5777988433838,"Silver_Shade",13461,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"114",14,20.6945495605469,"Silver_Shade",13478,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"115",15,20.5021800994873,"Silver_Shade",13450,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"116",16,21.6780567169189,"Green_Dry_Shade",13622,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"117",17,21.6644630432129,"Green_Dry_Shade",13620,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"118",18,21.6032676696777,"Green_Dry_Shade",13611,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"119",19,21.8071060180664,"Green_Dry_Shade",13641,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"120",20,21.7731609344482,"Green_Dry_Shade",13636,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"121",21,20.1163139343262,"Green_Wet_Shade",13394,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"122",22,20.2680835723877,"Green_Wet_Shade",13416,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"123",23,20.1301212310791,"Green_Wet_Shade",13396,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
"124",24,20.0334320068359,"Green_Wet_Shade",13382,"ThermalCamera2023-07-25_11-33-00+0200_D21_D_temperature","2023-07-25","D21",1,"R1",7,"D","Pseudotsuga Menziesii"
